operator_qid,operator_label,operator_type_qid,operator_type_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved,wikipedia,similarity_score,operator_name
Q30605616,Operatori i Sistemit te Transmetimit,Q112046,transmission system operator for electricity,Q222,Albania,https://www.ost.al/,Tirana,2004-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Operatori%20i%20Sistemit%20t%C3%AB%20Transmetimit.svg,,,https://en.wikipedia.org/wiki/Transmission_System_Operator_(Albania),,
Q136465672,Q136465672,Q1326624,electricity supply company,Q228,Andorra,https://www.nordandorra.ad/,La Massana,1920-01-01T00:00:00Z,,,,energy supply,,,,,,
Q110008064,Q110008064,Q472093,distribution network operator for electricity,Q916,Angola,http://www.ende.co.ao/,Luanda,1987-08-15T00:00:00Z,,,,electric power industry,,,,,,
Q133895597,Rede Nacional de Transporte de Electricidade,Q112046,transmission system operator for electricity,Q916,Angola,http://www.rnt.co.ao/,,2014-01-01T00:00:00Z,,,,electric power industry,,,,,,
Q131567027,Q131567027,Q1326624,electricity supply company,Q414,Argentina,https://edese.com.ar,Santiago del Estero,1995-01-04T00:00:00Z,,,,public utility,,,,,,
Q132128310,Q132128310,Q1326624,electricity supply company,Q414,Argentina,https://epe.santafe.gov.ar,,1986-12-18T00:00:00Z,,,,,,,,,,
Q5737112,CHADE company,Q1326624,electricity supply company,Q414,Argentina,,Buenos Aires,1920-01-01T00:00:00Z,,,,"electric power generation, transmission and distribution",http://commons.wikimedia.org/wiki/Special:FilePath/Compania%20hispano%20americana%20chade%20logo.png,,1961-01-01T00:00:00Z,,,
Q5337059,Edesur,Q472093,distribution network operator for electricity,Q414,Argentina,https://www.edesur.com.ar/,Buenos Aires,1992-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/Edesur%20logo22.png,,,https://en.wikipedia.org/wiki/Edesur,,
Q117886331,Empresa de Energía de Río Negro Sociedad Anónima,Q472093,distribution network operator for electricity,Q414,Argentina,https://www.edersa.com.ar/,Cipolletti,1996-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/EdERSA%20Logo.png,,,,,
Q343225,ActewAGL,Q1326624,electricity supply company,Q408,Australia,https://www.actewagl.com.au/,Canberra,2000-10-03T00:00:00Z,,,,gas industry,http://commons.wikimedia.org/wiki/Special:FilePath/ActweAGL.png,,,https://en.wikipedia.org/wiki/ActewAGL,,
Q4822520,Aurora Energy,Q472093,distribution network operator for electricity,Q408,Australia,https://www.auroraenergy.com.au/,Hobart,1998-07-01T00:00:00Z,,286,,trade of electricity,,,,https://en.wikipedia.org/wiki/Aurora_Energy_(Tasmania),,
Q7392701,AusNet Services,Q112046,transmission system operator for electricity,Q408,Australia,https://www.ausnetservices.com.au/,Southbank,,,,,electric power industry,,Australian Securities Exchange,,https://en.wikipedia.org/wiki/AusNet,,
Q4822750,Ausgrid,Q472093,distribution network operator for electricity,Q408,Australia,https://www.ausgrid.com.au/,Sydney,2011-01-01T00:00:00Z,,,,,,,,https://en.wikipedia.org/wiki/Ausgrid,,
Q136821581,BEL-KDL 81,Q200928,electric power transmission,Q408,Australia,,,,,,,,,,,,,
Q136821527,CGT-YLN X1,Q200928,electric power transmission,Q408,Australia,,,,,,,,,,,,,
Q133890760,CitiPower,Q472093,distribution network operator for electricity,Q408,Australia,https://www.citipower.com.au/,,,,,,electric power distribution,,,,,,
Q5357218,ElectraNet,Q112046,transmission system operator for electricity,Q408,Australia,http://www.electranet.com.au/,Adelaide,,,,,electric power industry,,,,https://en.wikipedia.org/wiki/ElectraNet,,
Q5357797,Electricity Commission of New South Wales,Q1326624,electricity supply company,Q408,Australia,,,1950-05-22T00:00:00Z,,,,,,,,https://en.wikipedia.org/wiki/Electricity_Commission_of_New_South_Wales,,
